Round,ActionClass,Setup,Metric,DeltaMetric,Rationale,Insight
90000,Incremental Tuning,balance_factor_corr_001,0.0000,-0.6345,A small multiplicative correction can be introduced without changing the overall structure of the champion. Adding a lightweight 'balance' factor that rewards events with consistent pairwise mass ratios is a minimal tweak that leverages a known signal characteristic while preserving the existing high‑level scoring pipeline.,"In a genuine three‑body resonance the three pairwise invariant‑mass ratios should be consistent with each other, reflecting a common underlying decay kinematics. Background or combinatorial candidates often exhibit one or two ratios that deviate strongly, inflating the ratio spread. By introducing a modest boost for events with a small standard deviation among `ratio_ab`, `ratio_ac`, and `ratio_bc`, we subtly increase signal efficiency while keeping background rejection intact, embodying a physics‑driven incremental refinement."
90001,Incremental Tuning,v30007_symmetry_boost,0.0000,-0.6345,"The current champion already captures the main kinematic priors (triplet mass, W‑mass, PT scaling, ratio and eta). A modest, physics‑motivated multiplicative tweak can extract a bit more discrimination without disrupting the overall structure. Resonant three‑body decays often produce pairwise invariant masses that are roughly balanced; a small symmetry boost therefore provides an incremental improvement.","In many resonant processes (e.g., a heavy particle decaying to three intermediate bosons), the limited phase space forces the pairwise invariant masses to be close to each other. By rewarding events with a small relative spread among the three m_ij values, we exploit a subtle but real physical correlation, yielding a modest gain in signal efficiency while keeping background rejection stable."
90002,Incremental Tuning,refine_v30007,0.0000,-0.6345,A modest multiplicative correction that rewards events where the three mass‑ratio observables are mutually consistent. This is a small tweak (≈1‑2 % boost) that can improve discrimination for genuine three‑body decays without overturning the champion's overall balance.,"In a genuine three‑body decay (e.g. a top quark decaying to bW followed by a hadronic W), the invariant‑mass ratios of the three pairwise combinations should be consistent with the underlying kinematics. Small fluctuations away from this consistency reduce the likelihood of signal. By adding a gentle exponential penalty for large variance among the ratios, we reward events that exhibit the expected coherent structure, yielding a subtle yet physics‑driven improvement."
90003,Incremental Tuning,cumulative_v30007_mass_balance,0.6179,-0.0166,"A small, physics‑driven multiplicative correction that rewards events with a balanced set of dijet masses. This refinement preserves the champion's structure while gently boosting signal‑like configurations, fitting the Incremental Tuning action class.","A genuine three‑jet resonance should produce three comparable dijet masses, whereas QCD background often yields one dominant dijet and two much smaller ones. By adding a small exponential boost based on the spread of the three m_ij values, we subtly favor the mass‑symmetric topology characteristic of the signal while leaving the well‑tuned existing components largely untouched."
90004,Incremental Tuning,v30007_pair_balance,0.6043,-0.0302,"The champion already accounts for the global mass, weight, pt, dijet‑ratio and eta information. A residual correlation remains among the three pairwise invariant masses (mij_ab, mij_ac, mij_bc): signal events from a genuine three‑body resonance tend to have these masses clustered around a common value. Adding a tiny multiplicative correction that rewards a low spread among the three masses can modestly improve signal discrimination without destabilising the overall scoring.","In a resonant three‑body decay the three dijet masses are expected to be comparable; a narrow spread signals a coherent decay topology, while background tends to produce a broader spread. The Gaussian‑like term provides a gentle boost (up to ~5 %) for events with tightly clustered masses and leaves the bulk of events essentially unchanged, reflecting the underlying physics of mass consistency."
91000,Incremental Tuning,incremental_20260422_001,0.0088,-0.6257,"The current champion exhibits solid but not optimal efficiency (0.6345). Small, well‑controlled parameter adjustments are most likely to yield measurable gains without destabilizing the system, making incremental tuning the appropriate strategy.","Perturbative physics suggests that modest tweaks produce near‑linear improvements while keeping the system within its stable regime. Using tanh on the negative log of the score creates a bounded, smooth correction that increases efficiency for sub‑optimal scores and respects physical limits."
90005,Incremental Tuning,v30007_mass_spread_corr,0.0000,-0.6345,"Add a modest correction based on the consistency of the three dijet masses. In signal events the three dijet masses tend to be similar, so a small penalty for large spread can modestly improve discrimination without drastically altering the existing scoring structure.","Resonant three‑body decays tend to produce dijet invariant masses that are mutually consistent. By introducing a mild Gaussian damping based on the spread of the three dijet masses, events with a large mass disparity receive a small penalty (a few percent), while well‑balanced signal candidates remain essentially unchanged. This targeted, low‑amplitude adjustment exemplifies incremental tuning aimed at sharpening the signal‑to‑background discrimination."
91001,Cross-Component Attention Shift,physics_opt_001,0.0000,-0.6345,"A cross-component attention shift leverages novel inter-component interactions to unlock new optimization pathways beyond incremental tuning, aligning with the intended innovation and shift focus.","By modulating the coupling strength between subsystems using a hyperbolic tangent activation of the log-transformed interaction factor, we capitalize on emergent coherence, a principle central to many-body physics, to further improve efficiency."
91002,Incremental Tuning,inc_tune_20260422_001,0.0000,-0.6345,"Incremental tuning focuses on modest, systematic adjustments to the existing parameters that already yielded an efficiency of 0.6345. By refining the current configuration rather than redesigning components, we can capture low‑hanging performance gains with minimal risk.","Small perturbations to control variables such as temperature gradients, magnetic field alignment, or coupling coefficients often lead to measurable improvements in thermodynamic conversion efficiency, reflecting the principle of marginal gains in physical systems."
90006,Incremental Tuning,angular_separation_boost_v30007,0.0000,-0.6345,A small multiplicative correction that rewards the expected angular separation of decay products (ΔR ≈ 0.8) can fine‑tune the score without overhauling the existing architecture. This is a classic Incremental Tuning step: a modest boost applied after the champion’s full scoring pipeline.,"In hadronic W‑boson decays the two daughter jets typically emerge with a characteristic angular separation ΔR ≈ 0.8 (for the pT range of interest). Events that exhibit this topology are more likely to be genuine signal candidates, while overly collinear or widely separated triplets often arise from background combinatorics. Adding a gentle, Gaussian‑shaped boost around ΔR = 0.8 therefore aligns the scoring with the underlying physics without dramatically reshaping the existing decision surface."
91003,Incremental Tuning,inc_tuning_20260422_001,0.0000,-0.6345,"A small, continuous adjustment to the hyperparameter controlling model dynamics can incrementally improve the efficiency without risking instability.",Physics insight: Near-optimal performance in many systems follows a sigmoid-like response to parameter changes; applying a tanh-scaled correction leverages smooth saturation behavior akin to thermalization limits in statistical mechanics.
91004,Incremental Tuning,opt_20260422_01,0.6160,-0.0185,"Fine-tuning the current champion incrementally can exploit its already moderate efficiency, allowing modest gains via small hyperparameter adjustments without disrupting learned representations.","In physics, perturbative corrections apply small, systematic adjustments to an existing solution, preserving stability while enhancing accuracy—mirroring incremental tuning of model parameters."
90007,Incremental Tuning,inc_tune_mass_symmetry_v1,0.6160,-0.0185,"A small, physics‑motivated multiplicative correction can sharpen the discrimination without overhauling the existing well‑tuned components.  Adding a modest symmetry factor that rewards triplets whose three dijet masses are close together captures the expectation that a genuine H→WW*→3‑jet topology should exhibit limited spread among the dijet invariant masses, while only mildly adjusting the overall score.","In a genuine H→WW*→3‑jet decay the two dijet systems (one on‑shell W, one off‑shell W) are constrained by the parent masses, leading to relatively modest variation among the three possible dijet invariant masses.  Large discrepancies typically arise from combinatorial background or non‑signal triplets.  By introducing a gentle exponential penalty for large dijet‑mass spread, we subtly favour signal‑like topology while preserving the overall behavior of the champion."
91005,Incremental Tuning,inc_tune_20260422_001,0.0000,-0.6345,"Incremental tuning is chosen to fine‑adjust the system parameters with a modest exponential decay, ensuring improved efficiency without destabilizing the existing configuration.","Physically, a slight exponential attenuation reflects the weakening of residual losses over time, allowing the model to capture more efficient energy transfer while preserving stability."
91006,Incremental Tuning,opt_step_20260422_001,0.6160,-0.0185,"Apply a modest exponential correction to the learning dynamics, providing a small boost to the efficiency while preserving stability. This aligns with the principle of incremental energy transfer in physical systems.","Physical processes often evolve through gradual, damped adjustments; a slight multiplicative increase mirrors this behavior, encouraging the model to escape the current efficiency plateau without causing disruptive parameter shifts."
90008,Incremental Tuning,cumulative_v30007,0.0000,-0.6345,"A small angular‑separation (ΔR) correction is added as an extra multiplicative factor.  It gently rewards triplets whose three objects are neither too collimated nor too far apart – a topology typical of resonant decays – while leaving the existing physics‑driven priors untouched.  Because the factor is close to unity (≈1 ± a few %), it qualifies as an incremental tuning rather than a major redesign.","In many resonant decay signatures the decay products populate a characteristic angular distance of ΔR ≃ 0.8–1.2 in the detector.  By introducing a modest Gaussian weighting around ΔR = 1.0 we exploit this known kinematic feature, giving a slight boost to events with the expected topology while penalising overly collimated or overly spread configurations.  The width (σ≈0.5) keeps the correction weak, preserving the champion's overall behavior and ensuring the improvement is incremental rather than disruptive."
91007,Incremental Tuning,opt_20260422_001,0.6160,-0.0185,"A minor adjustment to the correction factor can raise the overall efficiency while preserving the current architecture, fitting the incremental tuning approach.","In many physical systems, a slight tweak of interaction strengths (e.g., coupling constants) can enhance energy transfer pathways, leading to higher overall efficiency without a complete redesign."
