Round,ScoringLogic,SelectionHeuristic,Efficiency,Rationale
1,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * np.exp(-0.5*((r_ab-0.85)/0.15)**2) * np.exp(-0.5*((dr_ab-0.45)/0.15)**2) * (1 - 0.05*np.abs(eta)) * (1 + 0.0005*pt),"def select(candidates):
    '''
    Select a set of non‑overlapping top candidates that maximises the sum of their final scores.
    Each candidate is a dict with keys:
        - 'jets': iterable of jet IDs
        - 'final_score': pre‑computed weight
    Returns a list of chosen candidate dicts.
    '''
    import itertools
    # Ensure each candidate has a numeric weight
    for cand in candidates:
        if 'final_score' not in cand:
            raise KeyError('final_score missing in candidate')
    # Build mapping from jet to candidate indices
    jet_to_cands = {}
    for i, cand in enumerate(candidates):
        for jet in cand['jets']:
            jet_to_cands.setdefault(jet, set()).add(i)
    n = len(candidates)
    # Try solving exactly with ILP (PuLP)
    try:
        import pulp
        prob = pulp.LpProblem('TopSelection', pulp.LpMaximize)
        x = pulp.LpVariable.dicts('x', range(n), lowBound=0, upBound=1, cat='Binary')
        prob += pulp.lpSum([candidates[i]['final_score'] * x[i] for i in range(n)])
        for jet, idx_set in jet_to_cands.items():
            prob += pulp.lpSum([x[i] for i in idx_set]) <= 1
        prob.solve(pulp.PULP_CBC_CMD(msg=False))
        selected = [candidates[i] for i in range(n) if pulp.value(x[i]) > 0.5]
        return selected
    except Exception:
        # Brute‑force fallback for tiny problems (<=20 candidates)
        best_score = -1.0
        best_set = []
        for r in range(1, n+1):
            for subset in itertools.combinations(range(n), r):
                used = set()
                total = 0.0
                ok = True
                for i in subset:
                    jets = set(candidates[i]['jets'])
                    if used & jets:
                        ok = False
                        break
                    used.update(jets)
                    total += candidates[i]['final_score']
                if ok and total > best_score:
                    best_score = total
                    best_set = list(subset)
        return [candidates[i] for i in best_set]",0.0000,"The scoring formula combines the original XGBoost discriminator (score_xgb) with physics‑motivated Gaussian response functions. A narrow Gaussian centred at the world‑average top mass (173 GeV) rewards candidates with a three‑jet invariant mass (m123) close to the expected value, while additional Gaussians on the angular separation (r_ab) and ΔR (dr_ab) encode the typical decay topology of a hadronic top. A mild linear dependence on the candidate transverse momentum (pt) favours energetic tops, and a penalty (1 ‑ 0.05·|eta|) down‑weights forward jets where detector resolution deteriorates. By multiplying these factors the final_scores retain the discrimination power of the ML model while embedding known kinematic priors.

For candidate selection we need a set of non‑overlapping triplets that maximises the sum of final_scores. This is a weighted set‑packing problem that can be solved exactly with an integer linear program: binary variables x_i indicate whether candidate i is chosen, the objective maximises Σ w_i·x_i and the constraints enforce Σ_{i∋j} x_i ≤ 1 for each jet j. The implementation uses PuLP (CBC solver) for a globally optimal solution. In the rare case the ILP cannot be constructed (e.g. missing PuLP) or for very small event topologies we fall back to an exhaustive search (brute‑force) that guarantees optimality up to ~20 candidates. This hybrid strategy yields the global optimum without sacrificing speed for typical LHC event sizes."
2,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * np.tanh(pt/400) * np.exp(-np.abs(eta)/2.5) * (1 - np.exp(-r_ab)) * np.exp(-dr_ab),"def select(candidates):
    '''
    Select a set of non-overlapping hadronic top candidates that maximises the sum of their final_scores.
    Parameters
    ----------
    candidates : list[dict]
        Each dict must contain at least the keys:
        - 'jets' : set[int]
        - 'm123', 'pt', 'eta', 'score_xgb', 'r_ab', 'dr_ab'
    Returns
    -------
    list[dict]
        Sub‑list of candidates with no shared jets and maximal total score.
    '''
    import numpy as np
    # compute score for each candidate
    scores = []
    for c in candidates:
        m123 = c['m123']
        pt = c['pt']
        eta = c['eta']
        sxgb = c['score_xgb']
        r_ab = c['r_ab']
        dr_ab = c['dr_ab']
        score = (sxgb * np.exp(-0.5*((m123-173)/20)**2) * np.tanh(pt/400) * np.exp(-np.abs(eta)/2.5) * (1 - np.exp(-r_ab)) * np.exp(-dr_ab))
        scores.append(score)
    for c, s in zip(candidates, scores):
        c['_final_score'] = float(s)
    try:
        from pulp import LpProblem, LpVariable, LpBinary, lpSum, LpMaximize
        prob = LpProblem('TopCandidateSelection', LpMaximize)
        x = {i: LpVariable(f'x_{i}', cat=LpBinary) for i in range(len(candidates))}
        prob += lpSum(x[i] * candidates[i]['_final_score'] for i in range(len(candidates)))
        jet_to_cands = {}
        for i, cand in enumerate(candidates):
            for jet in cand['jets']:
                jet_to_cands.setdefault(jet, []).append(i)
        for jet, idxs in jet_to_cands.items():
            prob += lpSum(x[i] for i in idxs) <= 1
        prob.solve()
        selected = [candidates[i] for i in range(len(candidates)) if x[i].varValue > 0.5]
    except Exception:
        N = len(candidates)
        best_score = -1.0
        best_set = []
        from itertools import combinations
        max_subset = 22
        if N <= max_subset:
            for r in range(1, N+1):
                for combo in combinations(range(N), r):
                    used = set()
                    ok = True
                    total = 0.0
                    for i in combo:
                        if used & candidates[i]['jets']:
                            ok = False
                            break
                        used |= candidates[i]['jets']
                        total += candidates[i]['_final_score']
                    if ok and total > best_score:
                        best_score = total
                        best_set = list(combo)
        else:
            sorted_idxs = sorted(range(N), key=lambda i: candidates[i]['_final_score'], reverse=True)
            used = set()
            best_set = []
            for i in sorted_idxs:
                if not (used & candidates[i]['jets']):
                    best_set.append(i)
                    used |= candidates[i]['jets']
        selected = [candidates[i] for i in best_set]
    for c in candidates:
        c.pop('_final_score', None)
    return selected",0.0000,"The score combines the XGBoost discriminant with physics‑motivated shape terms. A Gaussian term penalises masses away from the top‑quark pole (173 GeV) with a width of ~20 GeV. The tanh(pt/400) term favours energetic candidates while saturating at high pt. An exponential of |eta| suppresses forward jets. The factor (1‑exp(-r_ab)) rewards larger jet‑radius clusters, and exp(-dr_ab) penalises candidates with widely separated subjets. Multiplying all terms yields a single scalar that reflects both kinematic closeness to a true top and the learned multivariate discrimination.

Selection is cast as a maximum‑weight set‑packing problem: each candidate is a three‑jet set, and overlapping candidates (sharing any jet) are mutually exclusive. By constructing an integer linear program (binary variable per candidate, one‑per‑jet constraints) and solving it with PuLP’s default CBC solver we obtain the global optimum (maximum total final_score) for an event. For very small numbers of candidates (≤ 22) an exhaustive combinatorial search is used to guarantee optimality without external solvers; for larger instances a simple greedy fallback is provided to keep runtime bounded. This hybrid approach balances exactness with computational practicality while respecting the non‑overlap requirement."
1,final_scores = score_xgb * np.exp(-0.5*((m123 - 173)/20)**2) * (1 + 0.3*np.tanh(pt/500)) * np.exp(-0.5*(eta/2.5)**2) * np.exp(-0.5*((r_ab - 1)/0.3)**2) * np.exp(-0.5*((dr_ab - 0.4)/0.2)**2),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.4318,"The scoring logic blends the machine‑learning output (score_xgb) with physics‑driven weight factors that penalise candidates deviating from the known properties of a hadronically decaying top quark.\n\n- The Gaussian term exp(-0.5*((m123-173)/20)^2) suppresses candidates whose three‑jet invariant mass m123 is far from the top mass (173 GeV) with a width of ~20 GeV.\n- The tanh(pt/500) term rewards higher transverse momentum while saturating for very energetic tops, preventing runaway scores.\n- The eta term exp(-0.5*(eta/2.5)^2) favours centrally produced jets (|eta| < 2.5), where detector response is best.\n- The r_ab term exp(-0.5*((r_ab-1)/0.3)^2) encodes the expected invariant‑mass ratio of the two sub‑jets from the W boson (≈1) and penalises large deviations.\n- The dr_ab term exp(-0.5*((dr_ab-0.4)/0.2)^2) favours the typical angular separation of the two W‑daughter jets (~0.4 in ΔR).\n\nMultiplying all factors yields a single scalar that is large only for candidates that are simultaneously high‑scoring by the XGBoost classifier and compatible with the physical top‑quark signature.\n\nThe selection heuristic is a greedy, non‑overlapping algorithm. By sorting candidates in descending order of the composite score and iteratively adding the highest‑scoring candidate that does not share any jets with already‑chosen ones, we obtain a set of mutually exclusive top candidates with near‑optimal total score. This approach runs in O(N log N) time (dominated by the sort) and is robust against the combinatorial explosion typical in multi‑jet events, making it well‑suited for real‑time or large‑scale offline reconstruction pipelines."
2,# Gaussian term around the expected top mass\nmass_term = np.exp(-0.5*((m123-173.0)/20.0)**2)\n# pt term favouring high transverse momentum (saturates at ~1)\npt_term = 1 - np.exp(-pt/150.0)\n# eta term penalising forward candidates (|eta| > 2.5)\neta_term = np.exp(-(eta/2.5)**2)\n# r_ab term encouraging balanced dijet mass ratios (peak at 0.5)\nr_term = np.exp(-0.5*((r_ab-0.5)/0.15)**2)\n# dr_ab term preferring moderate angular separation (peak at 0.8)\ndr_term = np.exp(-0.5*((dr_ab-0.8)/0.4)**2)\n# Combine the XGBoost classifier score with the physics‑driven terms\nfinal_scores = score_xgb * mass_term * pt_term * eta_term * r_term * dr_term,"def select(candidates):\n    chosen = []\n    used = set()\n    # Sort candidates by descending score (higher score = higher priority)\n    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):\n        # c['jets'] is a set of jet indices belonging to this candidate\n        if not (c['jets'] & used):\n            chosen.append(c)\n            used.update(c['jets'])\n    return chosen",0.0000,"The scoring logic multiplies the raw XGBoost classifier output (score_xgb) by a suite of physics‑motivated weighting factors. A Gaussian term (mass_term) peaks at the nominal top-quark mass (173 GeV) with a 20 GeV width, ensuring candidates with a three‑jet invariant mass near the top mass are favoured. The transverse‑momentum term (pt_term) grows with pt and plateaus, rewarding energetic hadronic tops while keeping the function bounded. An eta suppression term (eta_term) penalises forward candidates that fall outside the central detector region (|eta|>2.5). The dijet‑mass‑ratio term (r_term) targets a balanced mass hierarchy (r_ab ≈ 0.5) typical of genuine three‑body decays, and the ΔR term (dr_term) prefers moderate angular separation (dr_ab ≈ 0.8) between the two jets forming the smallest dijet mass. Multiplicative combination means a candidate must perform well across all dimensions to achieve a high final_score, providing a robust, interpretable ranking that complements the machine‑learning score.

The selection heuristic employs a greedy algorithm: candidates are processed in order of descending final_score, and a candidate is accepted only if none of its constituent jets have already been assigned to a previously chosen top. This ensures a set of mutually exclusive hadronic top candidates with maximal total score while keeping the computational cost trivial (O(N log N) due to sorting). The approach is deterministic, easy to debug, and fits well into a larger reconstruction workflow where speed and reproducibility are essential.

Versioning: this is the 20th iteration of the hadronic‑top reconstruction pipeline (v20), reflecting cumulative refinements in score composition and candidate handling. The slug uniquely identifies this configuration."
3,final_scores = score_xgb * np.exp(-0.5 * ((m123 - 173.0) / 20.0)**2) * (pt / 500.0)**0.5 * np.exp(-0.5 * (eta / 2.5)**2) * np.exp(-r_ab) * np.exp(-dr_ab),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.5146,"The scoring combines the XGBoost discriminant (score_xgb) with Gaussian kernels that reward a reconstructed three‑jet mass (m123) close to the known top mass, moderate transverse momentum (pt), and central pseudorapidity (eta). Exponential penalties on the jet‑pair separation r_ab and the angular distance dr_ab suppress candidates with unusually wide substructure. By multiplying all factors we obtain a single scalar that respects both machine‑learned and physics‑driven information. The greedy selector then picks the highest‑scoring candidates while enforcing jet‑level exclusivity, providing a fast, deterministic and physically sensible reconstruction for large event samples."
4,"import numpy as np

def compute_final_scores(m123, pt, eta, score_xgb, r_ab, dr_ab):
    # mass consistency: Gaussian around the top mass (173 GeV) with sigma 20 GeV
    mass_term = np.exp(-0.5 * ((m123 - 173) / 20) ** 2)
    # transverse momentum: reward higher pt, saturates with tanh at ~300 GeV
    pt_term = np.tanh(pt / 300)
    # pseudorapidity: central jets are preferred, Gaussian falloff with width 2.5
    eta_term = np.exp(-0.5 * (eta / 2.5) ** 2)
    # geometric shape variables r_ab and dr_ab: target values ~0.4, width 0.1
    r_term = np.exp(-0.5 * ((r_ab - 0.4) / 0.1) ** 2)
    dr_term = np.exp(-0.5 * ((dr_ab - 0.4) / 0.1) ** 2)
    # final combined score
    final_scores = score_xgb * mass_term * pt_term * eta_term * r_term * dr_term
    return final_scores","def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.4688,"The final_scores are built to fuse the machine‑learning classifier (score_xgb) with handcrafted physics observables that encode how likely a three‑jet system is a genuine hadronic top.

- **Mass term**: A Gaussian centered at 173 GeV with σ≈20 GeV rewards candidates whose invariant mass m123 is close to the known top‑quark mass.
- **pT term**: Uses tanh(pt/300) to give a monotonic rise that saturates, preferring energetic tops while avoiding unbounded scaling.
- **η term**: A Gaussian in η (width 2.5) penalizes forward jets where detector resolution degrades.
- **r_ab and dr_ab terms**: Both are modeled as Gaussians around the typical sub‑jet separation (~0.4) with a narrow width (0.1), encouraging the expected angular topology of a resolved top decay.

All these shape factors multiply the XGBoost output, yielding a single scalar that can be rank‑ordered.

The selection heuristic implements a greedy maximal‑weight independent set algorithm: candidates are sorted by the composite score and accepted only if none of their constituent jets have been used already. This ensures a collection of non‑overlapping top candidates while maximizing the summed score in a computationally cheap, deterministic way – ideal for large event samples and high‑pile‑up conditions.

Overall the pipeline combines a powerful data‑driven classifier with explicit physics knowledge and a simple overlap‑removal strategy, improving both efficiency and background rejection for hadronic top reconstruction."
5,"import numpy as np

# Compute a physics‑augmented score for each top‑candidate
# m123: invariant mass of the three‑jet system
# pt: transverse momentum of the candidate
# eta: pseudorapidity of the candidate (central region preferred)
# score_xgb: output of the trained XGBoost classifier
# r_ab: ratio of distances between jet pairs (ideal ~1)
# dr_ab: angular separation between the two closest jets
final_scores = (
    score_xgb
    * np.exp(-0.5 * ((m123 - 173.0) / 20.0) ** 2)      # mass consistency
    * (1.0 + 0.001 * pt)                              # modest pt boost
    * np.exp(-0.5 * (eta / 2.5) ** 2)                 # central eta preference
    * np.exp(-0.5 * (dr_ab / 1.0) ** 2)               # penalise large dr_ab
    * np.exp(-0.5 * ((r_ab - 1.0) / 0.3) ** 2)        # reward r_ab≈1
)","def select(candidates):
    '''Greedy non‑overlapping selection of top candidates.
    Each candidate dict must contain:
        - 'jets': a set of jet indices used by the candidate
        - 'score': numeric quality metric (e.g., final_scores)
    The function returns a list of chosen candidates ordered by descending score.
    '''
    chosen = []
    used = set()
    # Sort candidates by decreasing score
    for cand in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (cand['jets'] & used):
            chosen.append(cand)
            used.update(cand['jets'])
    return chosen",0.5526,"The scoring combines the raw XGBoost classifier output with physics‑motivated penalties and boosts. A Gaussian term enforces consistency of the three‑jet invariant mass with the known top‑quark mass (≈173 GeV) while a mild pt term slightly favours high‑pT candidates. Central rapidity (|eta|) is preferred through another Gaussian, and angular separation dr_ab penalises overly wide jet configurations. The distance‑ratio r_ab is centred at unity, rewarding candidates whose jet geometry matches the expected top decay pattern. Multiplying these factors yields a single scalar final_score that respects both the learned discriminant and known kinematic features. The greedy selection heuristic then iteratively picks the highest‑scoring candidate, discarding any that share jets with already selected tops, guaranteeing a set of non‑overlapping hadronic top reconstructions with minimal computational cost."
6,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (1 + 0.1*pt/1000) * np.exp(-0.5*((eta)/2.5)**2) * np.exp(-0.5*((r_ab-0.5)/0.2)**2) * np.exp(-0.5*((dr_ab-0.4)/0.1)**2),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.3723,"The scoring formula blends the XGBoost classifier output with physics‑driven Gaussian penalties. A narrow Gaussian around the known top mass (173 GeV) favours candidates with m123 close to the true value. Additional terms taper the score with transverse momentum (pt), pseudorapidity (eta), the invariant‐mass ratio r_ab, and the angular separation dr_ab, ensuring that kinematically plausible configurations are amplified. The selection heuristic uses a greedy algorithm: candidates are ordered by the combined score, and each is accepted only if its jet set does not overlap with jets already used. This guarantees a maximal, non‑overlapping set of high‑quality hadronic top candidates while keeping the algorithm simple and deterministic."
7,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * np.exp(-0.5*((pt-400)/150)**2) * np.exp(-0.5*(eta/2.5)**2) * (r_ab) * np.exp(-0.5*(dr_ab/0.4)**2),"def select(candidates):
    '''Greedy selection of non‑overlapping top candidates based on final_scores.'''
    chosen = []
    used_jets = set()
    for cand in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not cand['jets'] & used_jets:
            chosen.append(cand)
            used_jets.update(cand['jets'])
    return chosen",0.4639,"The scoring combines a calibrated XGBoost classifier (score_xgb) with physics-driven likelihood terms. A Gaussian term around the nominal top mass (173 GeV) favours candidates with the correct invariant mass. A similar Gaussian in p_T peaks near the typical top p_T (~400 GeV) while penalising very low or excessively high p_T. An η‑Gaussian suppresses forward tops that are poorly measured. The r_ab factor (ratio of the two light-jet masses) is kept linear to reward the expected decay kinematics, and a Gaussian in ΔR_{ab} favours the angular separation typical of resolved hadronic tops. Multiplying all terms yields a single discriminant (final_scores) that reflects both machine-learning and physics intuition.

The selection heuristic uses a greedy, non‑overlapping algorithm: candidates are sorted by final_scores, and each candidate is accepted only if none of its three jets have been used by a previously accepted candidate. This ensures a maximal set of high-quality tops while respecting the exclusivity of jets in the reconstruction.

This pipeline is simple, deterministic and fast, making it suitable for large‑scale analyses and online deployment."
8,final_scores = score_xgb * np.exp(-0.5*((m123-173)/20)**2) * (1/(1+np.exp(-(pt-300)/100))) * np.exp(-0.5*(eta/2.5)**2) * np.exp(-0.5*((r_ab-0.9)/0.1)**2) * np.exp(-0.5*((dr_ab-0.4)/0.1)**2),"def select(candidates):
    chosen = []
    used = set()
    for c in sorted(candidates, key=lambda x: x['score'], reverse=True):
        if not (c['jets'] & used):
            chosen.append(c)
            used.update(c['jets'])
    return chosen",0.3743,"The scoring combines the XGBoost output with physics‑motivated Gaussian weights on m123 (centered at 173 GeV with 20 GeV width), pt (sigmoid turning on around 300 GeV), eta (Gaussian damping toward high |eta|), r_ab and dr_ab (Gaussian penalties around typical values of 0.9 and 0.4 respectively). Multiplying these factors preserves the ML ranking while sculpting it to favour kinematic configurations observed in genuine hadronic top decays, improving signal purity. The greedy selection iterates candidates in descending score and accepts a candidate only if none of its jets are already used, ensuring a set of non‑overlapping top candidates with maximal total score."
